錯誤用字,正確用字,原文,錯誤範例,正確範例
水平,濃度,,血中葡萄糖水平,血中葡萄糖濃度
水平,高度,,固定在胸口水平,固定在胸口高度
水平,程度,,需要很高的專注水平,需要很高的專注程度
水平,水準,,他的英文水平很好,他的英文水準很好
隨訪,追蹤,follow-up,術後隨訪,術後追蹤
激活,活化,activate,激活補體,活化補體
失活,去活化,de-activate,受體失活後訊號中止,受體去活化後訊號中止
通過,透過,through,通過抑制 ACE 來降壓,透過抑制 ACE 來降壓
外周,周邊,peripheral,外周動脈疾病,周邊動脈疾病
圍產期,周產期,peripartum,圍產期死亡率,周產期死亡率
指南,指引,guideline,依照 KDIGO 指南建議,依照 KDIGO 指引建議
電復律,電擊整流,,安排電復律治療,安排電擊整流治療
轉鐵蛋白,運鐵蛋白,transferrin,血清轉鐵蛋白濃度偏低,血清運鐵蛋白濃度偏低
綜述,綜論,,骨質疏鬆：綜述,骨質疏鬆：綜論
住院醫師,住院專責主治醫師,hospitalist,由住院醫師統整照護計畫,由住院專責主治醫師統整照護計畫（註：台灣的住院醫師，指的是 residents）
循證醫學,實證醫學,evidence-based medicine,循證醫學強調證據整合,實證醫學強調證據整合
底物,受質,substrate,酵素與底物結合後反應,酵素與受質結合後反應
微塑膠,塑膠微粒,,微塑膠暴露可能影響健康,塑膠微粒暴露可能影響健康
氨基酸,胺基酸,,必需氨基酸攝取不足,必需胺基酸攝取不足
綜合症,症候群,syndrome,不寧腿綜合症,不寧腿症候群
阿片類,鴉片類,,阿片類止痛藥使用需評估,鴉片類止痛藥使用需評估
亞油酸,亞麻油酸,,亞油酸（linoleic acid）,亞麻油酸（linoleic acid）
α-亞麻酸,α-次亞麻油酸,,α-亞麻酸（α-linolenic acid）,α-次亞麻油酸（α-linolenic acid）
依計畫書分析,符合計畫書分析,per protocol analysis,主要採用依計畫書分析,主要採用符合計畫書分析
管理,處置,management,糖尿病管理需個別化,糖尿病處置需個別化
回流,再循環,recirculation,血管通路回流偏高,血管通路再循環偏高
優化,最佳化,optimize,優化管理模式,最佳化管理模式
他汀,statin,,使用他汀治療,使用 statin 治療（註：對藥物學名不做音譯）
透析充分性,足量透析,adequacy,透析充分性不只看 Kt/V,足量透析不只看 Kt/V
充分透析,足量透析,adequacy,尿素移除量可作為充分透析（dialysis adequacy）的量化代理指標,尿素移除量可作為足量透析（dialysis adequacy）的量化代理指標
動靜脈移植物,動靜脈人工血管,,,
AV 瘻管,AVF,,,
AV 移植物,AVG (人工血管),,,
抗生素鎖,抗生素封存,antibiotic lock,,
血色沉著症,血鐵沉積症,hemochromatosis,,
阿伏伽德羅常數,亞佛加厥常數,,,
8電子,八隅體,octet,,
對映異構物,鏡像異構物,enantiomer,,
枸櫞酸,檸檬酸,citrate,,
不複雜感染,非複雜性感染,uncomplicated infection,,
導管鎖,導管封存,catheter lock,抗生素導管鎖僅使用於全身性抗生素療程期間,抗生素導管封存僅使用於全身性抗生素療程期間
落地,實際應用,,這項 AI 技術若無法落地，就只是紙上談兵。,這項 AI 技術若無法實際應用，就只是紙上談兵。
第二型糖尿病,第2型糖尿病,,,
糖原,肝糖,glycogen,,
去甲腎上腺素,正腎上腺素,norepinephrine,,
初級照護醫師,基層醫師,primary care physician,,
基因面板,基因套組,genetic panel,,
光鏡,光學顯微鏡,light microscopy (LM),光鏡正常、IF 陰性,光學顯微鏡正常、IF 陰性
電鏡,電子顯微鏡,electron microscopy (EM),電鏡下 mesangial deposits,電子顯微鏡下 mesangial deposits
